lat,lon
55.7493991,37.609352
55.7498993,37.6093614
55.7519521,37.6105426
55.7524937,37.6101886
55.7526335,37.6080855
55.752677,37.6074372
55.7527879,37.6054502
55.7504572,37.6040681
55.7496976,37.6067456
55.749197,37.6085356
55.7491733,37.6086213
55.748838,37.6098147
55.7443828,37.6140417
55.7440205,37.6143468
55.7428848,37.6151879
55.7423797,37.6155386
55.7423213,37.6155805
55.7407838,37.6165123
55.7404984,37.6167951
